member,income_weighted_index,income_inequality,per_capita_income,education_score,labor_market_hardship,housing_instability,car_access_risk,mean_commute,commute_hardship_index,transit_dependency,food_insecurity_index,health_access_score,digital_disadvantage,social_isolation_index,environmental_burden,rurality_index
M02260,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02190,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M00597,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00485,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01534,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00408,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00001,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01629,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M01857,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02187,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01116,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00265,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01058,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M01667,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00932,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01771,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M01750,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M00412,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01658,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01323,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01170,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00733,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00898,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00025,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01900,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M00002,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01616,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M02068,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M01573,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01721,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01533,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01317,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M02194,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00277,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00500,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M00108,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00935,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00022,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00681,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00266,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00753,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02227,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M02246,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02112,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02141,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00141,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00641,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00389,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00134,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M01212,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01209,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01425,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00479,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M02019,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00644,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M02243,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M01531,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00991,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01307,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M01578,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01072,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00797,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00602,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00569,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00984,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M00155,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01228,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M00680,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02182,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00534,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00313,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01752,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02132,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01541,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00923,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01140,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00854,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01110,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00385,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00858,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00613,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02318,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00368,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01493,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01987,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M01120,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01880,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01954,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M00637,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M00686,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M01974,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M00943,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01447,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01057,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M02171,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00060,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01718,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00262,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01579,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01966,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M00459,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M00503,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00620,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01861,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M02170,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M01947,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01918,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M02266,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
M01404,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M00582,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01334,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M01621,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M02099,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M00614,83247.4,0.441,40300.644,16.5784,16.957,39.307,0.0365,29.849,29.849,0.0305,6.705,3.2586,6.847,15.9386,0.0,1.4234
M01241,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01779,75645.1,0.466,39917.389,10.7518,17.8992,40.2775,0.0897,28.3382,28.3382,0.1028,14.4955,1.7748,12.373,20.049,4.044,2.377
M02289,76319.175,0.471,41166.252,10.7342,17.6406,38.2835,0.0828,26.6424,26.6424,0.0648,15.117,0.9538,11.098,19.8162,4.4179,0.9888
M01499,65628.05,0.411,28761.377,5.3356,18.6652,39.219,0.0544,28.386,28.386,0.1268,15.721,3.9641,11.311,16.5572,0.0,3.549
M01075,77992.025,0.446,38587.692,11.654,16.5608,35.147,0.074,32.3456,32.3456,0.1424,12.8575,4.2124,9.96,18.1496,8.2664,2.4258
M00233,87184.725,0.525,58531.49,13.3468,17.229,41.506,0.0635,32.6048,32.6048,0.2015,8.8485,1.9314,8.04,16.5962,5.8936,2.416
M01243,77869.2,0.484,40237.094,10.732,17.4808,38.5575,0.0839,26.9665,26.9665,0.0646,15.11,0.9328,11.068,19.9332,4.3944,1.0114
